,Precision,Recall,RMSE, R^2,time to fit,time to predict,rank,maxIter,regParam
50,0.9198889125921708,0.063811437252075,1.3048749553770926,-0.7669109600825368,4.645,4.383,35,10,0.001
51,0.926483964389456,0.0725912611926016,1.087598797910694,-0.2274796787248743,4.111,4.272,35,10,0.0031622776601680004
52,0.9336278475164584,0.0780891072077921,0.9772717302950226,0.0089226629110634,4.459,4.382,35,10,0.01
53,0.9439947884894244,0.0699540112824541,0.9085905484092784,0.1433305045050537,4.428,4.209,35,10,0.031622776601683
54,0.91169089725266,0.0626753375649142,2.098196820635338,-3.5684546950107103,4.603,4.487,35,10,0.0001
55,0.9225222056505922,0.0615039424165319,3.3584634021272635,-10.70464141970538,5.35,4.32,35,10,1e-05
56,0.9601571777310782,0.0637315685340504,0.8566796394425985,0.2384230982817082,5.157,4.662,40,10,0.1
57,0.9230172356346196,0.077269038621527,1.2375225442738804,-0.5892166697546761,4.117,4.507,40,10,0.001
58,0.931008178079109,0.0815058856094872,1.056498451857502,-0.1582827889632083,4.486,4.786,40,10,0.0031622776601680004
59,0.9401223711753516,0.0844439786653143,0.9570312690204212,0.0495503205554901,5.406,4.388,40,10,0.01
60,0.9467800212358524,0.0771824006085676,0.8965534494569376,0.165878635828676,4.794,4.388,40,10,0.031622776601683
61,0.9199682780362276,0.0691804493639562,1.955784964640872,-2.969347117349071,5.15,4.577,40,10,0.0001
62,0.9227703191596632,0.067094912865435,2.8903296342728093,-7.669052330413489,5.269,4.423,40,10,1e-05
63,0.9623171982761024,0.0623859483027157,0.8562387342334674,0.2392068143858425,5.759,4.616,45,10,0.1
64,0.9267566445194552,0.0820579047453417,1.1718349337262557,-0.4249832338530119,5.898,4.495,45,10,0.001
65,0.937767294247307,0.0847480026099252,1.0127503216646854,-0.0643431091635022,5.618,4.517,45,10,0.0031622776601680004
66,0.9453355339700598,0.0831921079153108,0.936789699000484,0.0893298818282555,6.538,4.353,45,10,0.01
67,0.9506801055924202,0.0725398005065858,0.8902454012097967,0.1775749101079088,5.307,4.615,45,10,0.031622776601683
68,0.919188033491844,0.0791521650699514,1.8026600502693295,-2.372131806766667,7.814,4.471,45,10,0.0001
69,0.9132885614796716,0.0767631697950709,2.4863673594364286,-5.415159590420355,6.359,4.596,45,10,1e-05
70,0.958455248500748,0.063710825520975,0.856173297266108,0.2393230952652845,6.468,4.512,50,10,0.1
71,0.9249393036649768,0.09198177978154,1.1251650364817731,-0.3137397177115488,7.039,4.784,50,10,0.001
72,0.9341564519365014,0.0885681446696774,0.9864815753915168,-0.0098452564171658,7.201,4.671,50,10,0.0031622776601680004
73,0.9391033718216916,0.0843114889242169,0.9203594797436112,0.1209939726683915,6.693,4.884,50,10,0.01
74,0.953301076170243,0.0811998441407069,0.8834355887752676,0.1901088478931053,6.277,4.45,50,10,0.031622776601683
75,0.9136310878231044,0.0881612028127555,1.6716183931091535,-1.8996872263044664,6.131,4.752,50,10,0.0001
76,0.920588092259782,0.0871585328104542,2.5264257747126613,-5.623536897082481,6.705,4.731,50,10,1e-05
77,0.9626807377234112,0.0665668274096622,0.8558817558898166,0.2398410535674876,6.965,4.637,55,10,0.1
78,0.927264023884342,0.0964580993647963,1.0863279957302228,-0.2246128632522042,6.702,4.556,55,10,0.001
79,0.9347132887545136,0.0983877900219462,0.963091120762696,0.0374758586962694,7.425,4.482,55,10,0.0031622776601680004
80,0.9512890473762088,0.0885520312393869,0.9073928243804256,0.145587576974289,8.635,4.478,55,10,0.01
81,0.9476352045000092,0.0770354147594214,0.8796293240991877,0.1970726137476072,8.745,4.588,55,10,0.031622776601683
82,0.9246901051066454,0.09467324930777,1.58356140643049,-1.602236060963297,8.452,4.771,55,10,0.0001
83,0.9067066970845614,0.0929076127271461,2.229536152459413,-4.158291858080853,8.372,4.621,55,10,1e-05
84,0.9515215193056104,0.0653628235436961,0.85533247008738,0.2408164465551843,8.611,4.517,60,10,0.1
85,0.928670897471016,0.095647110664098,1.0462384865258771,-0.1358951801138452,7.27,4.538,60,10,0.001
86,0.9406628686582555,0.0911574661496308,0.947899757339268,0.0676012183649092,7.227,4.571,60,10,0.0031622776601680004
87,0.9313720088828594,0.0887070602832292,0.9012492790492984,0.1571180885703277,8.741,4.433,60,10,0.01
88,0.9412737085609426,0.0766429337563668,0.875970030493316,0.2037391392142181,9.484,4.529,60,10,0.031622776601683
89,0.9209566647197194,0.098249510347765,1.440445267138153,-1.1531307089481282,8.785,4.509,60,10,0.0001
90,0.9229547901065852,0.0939591683785709,2.0765245248152,-3.4745668684178552,7.893,4.645,60,10,1e-05
91,0.961247949884748,0.0695939560631459,0.8547479072171431,0.2418537949124567,11.353,4.569,65,10,0.1
92,0.928370032947793,0.1025661006228693,1.0257696729914885,-0.0918842036583316,10.054,4.78,65,10,0.001
93,0.9386969252468088,0.0935884007744761,0.9372381404320724,0.0884577971794601,11.03,4.595,65,10,0.0031622776601680004
94,0.9476225619957322,0.0929984217521589,0.8960962087668406,0.1667292197469352,10.523,4.559,65,10,0.01
95,0.9403995572783928,0.0801714996774224,0.8741112043612567,0.2071149169972067,10.44,4.64,65,10,0.031622776601683
96,0.9177383259923376,0.0971191799210587,1.3965559311155704,-1.0239209241663183,11.17,4.619,65,10,0.0001
97,0.9174859520681484,0.0964615782788129,1.9187771781073677,-2.8205506521283605,12.101,4.656,65,10,1e-05
98,0.9605354040535558,0.0685504980855649,0.8547647309232012,0.241823949962103,11.341,5.432,70,10,0.1
99,0.9313411135481796,0.0975691072495269,0.9841995556028732,-0.005178526818361,12.028,4.905,70,10,0.001
100,0.9436531228533676,0.0949964923626999,0.9209185302872605,0.1199257856054434,11.631,4.627,70,10,0.0031622776601680004
101,0.952687605422824,0.090410253422948,0.8901301202973227,0.177787893575267,11.381,4.728,70,10,0.01
102,0.9479931348468852,0.081830676120927,0.8714435203864769,0.2119471150053724,12.186,4.695,70,10,0.031622776601683
103,0.9203469368795278,0.1032071731056393,1.2778064911699674,-0.6943653175468194,9.864,4.951,70,10,0.0001
104,0.9151259101326924,0.1008358348054232,1.7609139186221423,-2.217756124720389,10.641,4.673,70,10,1e-05
105,0.9589741608058324,0.0717853550946893,0.8548150567426313,0.2417346693615897,13.042,4.917,75,10,0.1
106,0.9281214694401604,0.0992472818040388,0.9703129939883318,0.0229864930506575,13.596,4.737,75,10,0.001
