,rank,maxIter,regParam,spark_fit_t,spark_pred_t,spark_precision,spark_recall,spark_RMSE,spark_R2,lk_precision,lk_recall,lk_RMSE,lk_R2,lk_fit_t,lk_pred_t
0,100.0,10.0,0.1,32.83716893196106,0.33164739608764604,0.926458333333333,0.044643281283105005,0.8736692076287531,0.24712591668144301,0.9535527512286966,0.0695442843212101,0.8542816483400754,0.2426806959939673,20.728,5.12
1,50.0,10.0,0.001,151.22432255744934,0.33740282058715804,0.9185051846656701,0.07708355918619,1.056624122615231,-0.10062608259816201,0.9249393036649768,0.09198177978154,1.1251650364817731,-0.3137397177115488,7.039,4.784
2,50.0,10.0,0.01,4.750789642333984,0.10041165351867601,0.904267903120844,0.058472362268575,0.9396208618443751,0.129629708091711,0.9391033718216916,0.0843114889242169,0.9203594797436112,0.1209939726683915,6.693,4.884
3,50.0,10.0,0.031622776601683,4.273369073867798,0.07180380821228001,0.9257026357943781,0.056676214072963006,0.9013519058428101,0.19908298427477802,0.953301076170243,0.0811998441407069,0.8834355887752676,0.1901088478931053,6.277,4.45
4,50.0,10.0,0.1,4.70025110244751,0.07517981529235801,0.9187797115462081,0.043766980803507,0.875531730809688,0.24431197823342402,0.958455248500748,0.063710825520975,0.856173297266108,0.2393230952652845,6.468,4.512
5,60.0,10.0,0.1,9.46663236618042,0.09298157691955501,0.9273564064801171,0.041898805377575,0.8752767459865961,0.244752078599749,0.9515215193056104,0.0653628235436961,0.85533247008738,0.2408164465551843,8.611,4.517
6,100.0,10.0,0.1,33.22031021118164,0.343843698501586,0.9275396825396821,0.044993013078028006,0.8740172188900991,0.24692412485987303,0.9535527512286966,0.0695442843212101,0.8542816483400754,0.2426806959939673,20.728,5.12
7,110.0,10.0,0.1,17.516812324523926,0.08254861831665,0.9315836940836941,0.045678875315349005,0.8736500835762361,0.24755665857487502,0.9567804080326626,0.0679771799695535,0.8544320637294966,0.2424139865154964,25.912,5.565
8,100.0,10.0,0.01,20.847333192825317,0.354972124099731,0.9171604125521171,0.059061260586917005,0.89079229387207,0.217739033045966,0.9500781637754012,0.0924432118155383,0.872976767364736,0.2091716221127908,18.501,5.399
9,110.0,10.0,0.01,19.922604084014893,0.088952779769897,0.919537505267593,0.06077139589632401,0.8897391649422671,0.21958757772644202,0.948566558581976,0.0893020935650115,0.8735983675130536,0.2080450078225466,23.728,5.36
10,120.0,10.0,0.1,37.225444316864014,0.074775218963623,0.9264129389129381,0.046032027932243,0.8738130666399481,0.24727588950624202,0.9539264744392344,0.072639046665003,0.8541259838582986,0.2429566634729933,27.327,5.549
11,130.0,10.0,0.1,43.9707133769989,0.135656833648681,0.9330158730158731,0.045938571127963006,0.8738491481500731,0.24721372521874102,0.9603030460183396,0.0710157260865548,0.8538833612023173,0.2433866931899874,34.245,5.747
12,120.0,10.0,0.01,31.38924264907837,0.052766561508178,0.9308256172839501,0.06132164794390701,0.888470887109254,0.22181086826919102,0.9499166927293328,0.091927197037616,0.8729595552832813,0.2092028066042387,26.801,5.762
13,140.0,10.0,0.1,55.70709204673767,0.057026863098144004,0.926822533136966,0.045789113879323,0.8733215947529941,0.24812238337733902,0.9444597456230944,0.0899752911904209,0.8719354519781307,0.2110571490565558,39.726,5.671
14,100.0,10.0,0.01,102.49713969230652,0.34468817710876404,0.9171604125521171,0.059061260586917005,0.89079229387207,0.217739033045966,0.9500781637754012,0.0924432118155383,0.872976767364736,0.2091716221127908,18.501,5.399
15,110.0,10.0,0.01,19.904892444610596,0.061156749725341006,0.919537505267593,0.06077139589632401,0.8897391649422671,0.21958757772644202,0.948566558581976,0.0893020935650115,0.8735983675130536,0.2080450078225466,23.728,5.36
16,120.0,10.0,0.01,49.24812126159668,0.05537986755371001,0.9308256172839501,0.06132164794390701,0.888470887109254,0.22181086826919102,0.9499166927293328,0.091927197037616,0.8729595552832813,0.2092028066042387,26.801,5.762
17,20.0,10.0,0.1,11.67419147491455,0.336751699447631,0.912503480924533,0.030224133625922002,0.8863146658052221,0.225583444075436,0.9526282433028466,0.044894570955839,0.8647749634022645,0.2239618200971783,0.932,4.125
18,40.0,10.0,0.1,7.052242279052734,0.09073925018310501,0.9190000826719571,0.040537863201248005,0.8761322869446041,0.24327491992673303,0.9601571777310782,0.0637315685340504,0.8566796394425985,0.2384230982817082,5.157,4.662
19,20.0,10.0,0.01,13.528618574142456,0.34123396873474104,0.8856998897872591,0.04107074597529,1.064478051388805,-0.11704888642694401,0.9304185993934392,0.0497828277890882,1.0567013842348891,-0.158727797953335,1.019,4.15
20,60.0,10.0,0.1,9.418150186538696,0.077469110488891,0.9273564064801171,0.041898805377575,0.8752767459865961,0.244752078599748,0.9515215193056104,0.0653628235436961,0.85533247008738,0.2408164465551843,8.611,4.517
21,20.0,10.0,0.001,13.305121660232544,0.313582897186279,0.8411461762807001,0.034750691640741,1.387850064223671,-0.8988202623999331,0.9152238949472576,0.0346946576553237,1.4868538241172586,-1.2941056870623189,0.959,4.117
22,40.0,10.0,0.01,9.450803756713867,0.09312415122985801,0.8961149591149591,0.06408605549993701,0.9731861482124051,0.066336039420505,0.9401223711753516,0.0844439786653143,0.9570312690204212,0.0495503205554901,5.406,4.388
23,80.0,10.0,0.1,12.54335641860962,0.071928739547729,0.918469854797979,0.044244965889479,0.874344481021731,0.24636006421865203,0.9630166460523604,0.0697652679857776,0.8549018151757835,0.2415807430826545,14.13,5.096
24,130.0,10.0,0.01,26.95935344696045,0.069517612457275,0.9261721893058291,0.061949324944374,0.8882596808297091,0.222180804747991,0.9526713390585356,0.0920023375323084,0.8717298582663854,0.2114291549566245,31.862,5.718
25,40.0,10.0,0.001,7.55500340461731,0.09213900566101,0.8747910712030851,0.070060689633998,1.136135458504965,-0.272503502316613,0.9230172356346196,0.077269038621527,1.2375225442738804,-0.5892166697546761,4.117,4.507
26,20.0,10.0,0.0001,11.19469428062439,0.34527349472045904,0.851781414442595,0.039753233421332,1.819471838435285,-2.263543710356626,0.8974816891608292,0.0328947258279156,2.4154246847774954,-5.054299117564336,0.862,4.095
27,100.0,10.0,0.1,16.429585218429565,0.061336040496826005,0.9275396825396821,0.044993013078028006,0.8740172188900991,0.24692412485987303,0.9535527512286966,0.0695442843212101,0.8542816483400754,0.2426806959939673,20.728,5.12
28,60.0,10.0,0.01,13.217934370040894,0.091265201568603,0.9044656084656081,0.061224044617989005,0.915538455744838,0.173673007455263,0.9313720088828594,0.0887070602832292,0.9012492790492984,0.1571180885703277,8.741,4.433
29,20.0,10.0,1e-05,13.69041919708252,0.318902969360351,0.8487838195783881,0.039118178365172,2.31067826294425,-4.263537428318786,0.9010213754056856,0.0303942295574969,3.5150391131671297,-11.821451593795665,1.048,3.992
30,40.0,10.0,0.0001,9.049784421920776,0.095488309860229,0.888066840800605,0.075767110798689,1.374345696084133,-0.8620473962676101,0.9199682780362276,0.0691804493639562,1.955784964640872,-2.969347117349071,5.15,4.577
31,60.0,10.0,0.001,13.179914951324463,0.08709454536437901,0.9210427415580811,0.07384437973152,1.004261262656214,0.005757829335334,0.928670897471016,0.095647110664098,1.0462384865258771,-0.1358951801138452,7.27,4.538
32,120.0,10.0,0.1,22.788273572921753,0.06937909126281701,0.9264129389129381,0.046032027932243,0.8738130666399481,0.24727588950624202,0.9539264744392344,0.072639046665003,0.8541259838582986,0.2429566634729933,27.327,5.549
33,80.0,10.0,0.01,19.327031135559082,0.072539567947387,0.927234577468222,0.057785357682818006,0.8989378358705181,0.20336739421903902,0.9505291181663216,0.0907121679457449,0.8830926510431172,0.1907375034071763,12.155,4.902
34,40.0,10.0,1e-05,7.5867156982421875,0.09380483627319301,0.872873675968576,0.073006878728718,1.740776882730327,-1.987342236227899,0.9227703191596632,0.067094912865435,2.8903296342728093,-7.669052330413489,5.269,4.423
35,60.0,10.0,0.0001,12.435027122497559,0.079941511154174,0.894072758691402,0.083217256984304,1.163790171655566,-0.33520554781932604,0.9209566647197194,0.098249510347765,1.440445267138153,-1.1531307089481282,8.785,4.509
36,80.0,10.0,0.001,19.84006690979004,0.07798433303833001,0.8979829935455411,0.071628386954527,0.952737614454448,0.10516001652872901,0.9223199540918487,0.1009433054736073,0.9586104987313482,0.0464109941222334,11.726,4.992
37,140.0,10.0,0.1,31.6476411819458,0.059445619583129,0.926822533136966,0.045789113879323,0.8733215947529941,0.24812238337733902,0.9444597456230944,0.0899752911904209,0.8719354519781307,0.2110571490565558,39.726,5.671
