,rank,maxIter,regParam,spark_fit_t,spark_pred_t,spark_precision,spark_recall,spark_RMSE,spark_R2,lk_precision,lk_recall,lk_RMSE,lk_R2,lk_fit_t,lk_pred_t
0,110.0,10.0,0.01,1329.3602261543274,0.076058387756347,0.94338932003328,0.013614290669982002,0.920400609463056,0.25022966432021704,0.9786155212327358,0.0162567915446981,0.9277694852220524,0.2347494069917781,274.011,1220.979
1,2.0,10.0,0.01,128.64451551437378,0.1038818359375,0.6790196078431371,1.592270744182122e-05,0.8921187620646861,0.29559925802311005,0.9896331661522636,0.0002382244294551,0.8766597084502853,0.3167406244782441,15.914,451.507
2,3.0,10.0,0.01,88.50163102149963,0.092949867248535,0.681389123696815,1.869137675104084e-05,0.867941276675622,0.33326209849666305,0.9808532960307744,0.0001298289072312,0.8807446425506154,0.3103582797447693,16.878,463.524
3,5.0,10.0,0.01,119.00311732292175,0.06990265846252401,0.700587672543392,2.1965930197341273e-05,0.8741476421929381,0.32369275539386905,0.9707053853327492,0.0002975436937091,0.8875034596134209,0.2997330727695613,18.108,468.868
4,118.0,10.0,0.01,1554.0658421516418,0.068318367004394,0.9424354866965231,0.014868209894817,0.9191990107666701,0.25218606235706004,0.9800867908976072,0.0176472311995233,0.9259025598204592,0.2378260943816766,340.316,1281.707
5,9.0,10.0,0.01,117.5037772655487,0.063331604003906,0.762686407037871,6.680541653546406e-05,0.8734227056822761,0.32481402254420705,0.9769982032110356,0.0007258968395495,0.9037150077464108,0.2739166208692802,31.015,490.413
6,10.0,10.0,0.01,110.44315981864929,0.063768148422241,0.816761006289308,6.52393849889884e-05,0.8744444387347751,0.32323342857630105,0.97956086547797,0.000736421161636,0.9056328294219168,0.2708316306272892,33.519,502.817
7,250.0,10.0,0.01,8637.069759368896,0.08298373222351,0.950732155331883,0.026581840409351003,0.8879102865902381,0.302229453745786,0.977187469252159,0.0275867576512084,0.8911611435968743,0.2939491331678399,1275.07,2395.688
8,16.0,10.0,0.01,203.4302043914795,0.06647539138793901,0.824452388870413,0.00015464671455400002,0.8868722317076451,0.30386002550547203,0.9805699273776748,0.0013879750016886,0.915225893096974,0.2553021445275407,27.438,528.591
9,23.0,10.0,0.01,280.8519742488861,0.07143902778625401,0.8831889201179101,0.0005135610486180001,0.8975474280925321,0.287000422996376,0.9841618221604226,0.0021208131463997,0.9187400731437146,0.2495723534498236,41.987,618.774
10,120.0,10.0,0.01,1593.7378039360046,0.064230680465698,0.9415740492319771,0.014901138440116,0.919216250723592,0.252158010975759,0.9796907017338642,0.0176242003232658,0.925369769348462,0.2387029947767641,475.423,1340.736
11,350.0,10.0,0.01,20363.535544395447,0.069728374481201,0.955530680271869,0.031192800309077003,0.868994700437641,0.331642671481411,0.9785520949626292,0.0317016684048657,0.8722466151643709,0.3236023471637226,1535.282,3009.717
12,122.0,10.0,0.01,1632.019790649414,0.074939012527465,0.9430690108356621,0.015267221701405001,0.918461107205995,0.253386222651636,0.979210009233236,0.0180809328948288,0.9253470234248125,0.2387404202283128,326.911,1318.49
13,31.0,10.0,0.01,382.22559690475464,0.074608564376831,0.904301557583794,0.001234475337159,0.905513444364848,0.27428806727765603,0.9821960762644496,0.0032873419214561,0.923493837227796,0.2417865057603974,49.532,671.656
14,128.0,10.0,0.01,1828.8568999767303,0.06967830657958901,0.944012313993097,0.016156449483108,0.9171417975937131,0.25552960634118704,0.9791146996393606,0.0185563050089622,0.9230786032787628,0.2424681891464705,318.022,1315.354
15,132.0,10.0,0.01,2007.9297206401825,0.070809841156005,0.9429882275530621,0.017053395645858,0.91653664543227,0.256511721075867,0.9789537574222136,0.0191786345165522,0.92287529407439,0.2428018470352072,470.868,1394.923
16,39.0,10.0,0.01,528.528811454773,0.057058572769165004,0.9252633526114191,0.0020436213600470003,0.9107427501763821,0.26588194685209804,0.983493624321713,0.004505378202362,0.9283789332837044,0.2337436966730903,55.543,737.892
17,41.0,10.0,0.01,569.4198279380798,0.053781986236572,0.921117241191414,0.002320316925588,0.91297837588771,0.262273403033496,0.9833557265180206,0.0049167633149387,0.9284940567274992,0.2335536459711855,56.787,743.703
18,138.0,10.0,0.01,2131.8299651145935,0.07830333709716701,0.9449958193461251,0.017644922918996,0.9154954745734901,0.258199943040807,0.9777026046067115,0.0199018716550134,0.9206960566105103,0.2463736542746145,637.206,1430.629
19,43.0,10.0,0.01,611.5205354690552,0.052988529205322,0.9292975878759031,0.002734402626924,0.9128369695484521,0.262501910392449,0.9836820122309956,0.0052084950931256,0.9291601508146586,0.2324535667531805,56.674,741.114
20,146.0,10.0,0.01,3017.9146037101746,0.060143947601318005,0.9434328595329581,0.018098059078505,0.9131546248916761,0.26198854167912,0.9777928556844976,0.0205132611640628,0.9188619355124308,0.2493732656813531,670.488,1491.305
