,num_recs,n_trees,search_k,build_time,inference_time,MAP,precisionAt100,recallAt100,ndgcAt100,Custom Precision,Custom Recall
0,100,10,10,1.349115848541259,0.787075042724609,0.000616227140719,0.004918032786885,0.006786145158487001,0.0076056474494850005,0.8497942386831271,0.0065342200429490006
1,100,10,16,0.77093505859375,0.189733982086181,0.000655988644566,0.005311475409836001,0.006828431577330001,0.008014623075664001,0.8618902439024391,0.0073718074646950005
2,100,10,27,0.411514043807983,0.07656908035278301,0.000709636096181,0.005606557377049,0.0075500232825280005,0.008558950134806,0.854360465116279,0.0074953317218830005
3,100,10,46,0.42405009269714306,0.065773248672485,0.00078127359023,0.005672131147540001,0.007723339085697001,0.008804403788885001,0.8597530864197521,0.008208331906613001
4,100,10,77,0.46111297607421803,0.08090186119079501,0.0009096219385180001,0.006032786885245001,0.008921254989830001,0.009470052914954001,0.8698160535117051,0.009613906729743
5,100,10,129,0.441892862319946,0.16451096534729,0.0005983982216080001,0.006360655737704,0.009537533492368001,0.009192010873682,0.8290730337078651,0.008998960275165
6,100,10,215,0.47301292419433505,0.18344187736511203,0.000807813915887,0.006163934426229,0.009283541413385001,0.009432591458797001,0.8361156723225681,0.009112815759064
7,100,10,359,0.44361519813537603,0.097914934158325,0.000591552626246,0.005901639344262,0.010110297280158,0.008998171588117,0.8435185185185181,0.009894468411041002
8,100,10,599,0.38780093193054205,0.096987962722778,0.000666593886181,0.006131147540983001,0.010262841068889,0.009393239856187001,0.848615725359911,0.010070248180242
9,100,10,1000,0.43128490447998,1.003090858459472,0.0006981089904700001,0.006426229508196,0.011146522189524001,0.009935094923615,0.8708403914925651,0.011696396542792
10,100,13,10,0.427865982055664,0.19268107414245603,0.0008817347783210001,0.005442622950819,0.007603113502333001,0.008830118092541,0.824583039699318,0.007623888063036001
11,100,13,16,0.491514205932617,0.17225670814514102,0.0008817347783210001,0.005442622950819,0.007603113502333001,0.008830118092541,0.824583039699318,0.007623888063036001
12,100,13,27,0.45398974418640103,0.164772748947143,0.0008902598854220001,0.005573770491803001,0.00820876013257,0.009109071915693,0.8212682379349041,0.008073516359199001
13,100,13,46,0.43272709846496504,0.06842303276062,0.0008985332647800001,0.005442622950819,0.008160853656277,0.009157080401843001,0.846969696969697,0.008180856028136
