,num_recs,user_count,n_trees,search_k,build_time,inference_time,MAP,precisionAt100,recallAt100,ndgcAt100,Custom Precision,Custom Recall
220,100,610,2069,10,7.611025333404541,0.885416984558105,0.0005090954168030001,0.004852459016393001,0.007738898907611,0.007814840665814001,0.900892857142857,0.007967807893375001
221,100,610,2069,16,7.626870155334473,0.9364831447601311,0.0005096739382220001,0.0049508196721310006,0.007744615863173001,0.007885273070828001,0.8986416361416361,0.007969676212075
222,100,610,2069,26,7.550367832183838,0.9298460483551021,0.000512420442992,0.005114754098360001,0.007764987958626001,0.008042798161536,0.8962301587301581,0.007976874734125
223,100,610,2069,42,7.578359127044678,0.9399521350860591,0.000514749697801,0.004983606557377,0.007883392392269,0.007960575952524,0.8973837209302321,0.008110738853138
224,100,610,2069,69,7.580970048904419,0.9205691814422601,0.000514673465453,0.005245901639344,0.008153802795674,0.008167714741869,0.890246212121212,0.008359356029711001
225,100,610,2069,112,7.475743055343628,1.008278131484985,0.00047006588943000006,0.005245901639344,0.006515739672132001,0.007690158434539001,0.9021297970665051,0.0067611613898920005
226,100,610,2069,183,7.618756055831909,1.063144922256469,0.00047479692813200006,0.005475409836065001,0.007034104729899001,0.007933133175046,0.863962375073486,0.006972190614038001
227,100,610,2069,297,7.538108825683594,1.138494968414306,0.00045373419291400006,0.005573770491803001,0.006940170140020001,0.007849387419537,0.8679708477176831,0.007158912244678001
228,100,610,2069,483,7.738219976425171,1.232453823089599,0.00043267856675400005,0.005672131147540001,0.006344423902593,0.007706183982084,0.920826395826395,0.006625098342919001
229,100,610,2069,784,7.687704086303711,1.327752828598022,0.0004675440845,0.005836065573770001,0.007222820620136,0.008138800612497001,0.8923546691403831,0.007444609520088001
230,100,610,2069,1274,7.535606145858765,1.426733970642089,0.0005432913953410001,0.005999999999999,0.008714724958127001,0.008825839617789,0.8806488801054011,0.008811111230508002
231,100,610,2069,2069,7.625401020050049,1.604213953018188,0.0005642056909460001,0.006163934426229,0.009422640461524,0.009185460576707001,0.8611426767676771,0.00941901180085
232,100,610,2069,3359,7.451589822769165,1.705788850784301,0.0006531085145580001,0.006295081967213001,0.009662626408235,0.009558969544303,0.848740443953209,0.009264271671852
233,100,610,2069,5455,7.632792949676514,1.976155042648315,0.0006135329712400001,0.006163934426229,0.008956709745337,0.009193510106014,0.8625773867709351,0.009436235412245001
234,100,610,2069,8858,7.56296706199646,2.232919931411743,0.000576117339741,0.005967213114754,0.008941179340148,0.008930346644011001,0.8493083003952561,0.009300127869287
235,100,610,2069,14384,7.642520189285278,2.622415065765381,0.0005887369853350001,0.005999999999999,0.008906727789375,0.00896892379645,0.8547430830039521,0.009303429698877
236,100,610,2069,23357,7.555227994918823,3.022433042526245,0.000589100813087,0.006131147540983001,0.009524303272548001,0.009166457677126,0.850928641251221,0.010051030844037
237,100,610,2069,37926,7.492480039596558,3.5402979850769043,0.000592337413748,0.006196721311475001,0.009915386587744001,0.009314104993725,0.8536168132942321,0.010575414349614001
238,100,610,2069,61584,7.588003635406494,4.388205051422119,0.000580856858144,0.006098360655737001,0.009842055785858,0.009199110591965001,0.852541544477028,0.010487482465483
239,100,610,2069,100000,7.571835041046143,5.385282039642334,0.0005860337358020001,0.006163934426229,0.010029856765584001,0.009293866018013,0.852541544477028,0.010652468875166
240,100,610,3359,10,11.989135026931763,1.460761070251464,0.000723341417462,0.005803278688524,0.00784933510676,0.009017930579844001,0.832978723404255,0.007349105214459001
241,100,610,3359,16,11.955629110336304,1.456204175949096,0.000725010572381,0.005999999999999,0.007871898218176,0.009157624863018,0.8349398237696111,0.007375772716374001
242,100,610,3359,26,11.942917108535767,1.4393770694732662,0.000732556530669,0.0058688524590160005,0.007857141508009001,0.009286886324442,0.8356382978723401,0.007362705475584001
243,100,610,3359,42,11.985522985458374,1.448709964752197,0.0007320359014300001,0.005901639344262,0.007860188616303,0.009291575763859,0.8361218568665371,0.007366705875624001
244,100,610,3359,69,11.95931887626648,1.463303804397583,0.0007216391291230001,0.006065573770491,0.008401765457340001,0.009395959905799,0.847395833333333,0.00797546171274
245,100,610,3359,112,12.045902013778687,1.871701955795288,0.000695443217545,0.006,0.007909981485831,0.009086289285158,0.8734884965222041,0.007751486078745
246,100,610,3359,183,12.209343910217285,1.8674390316009521,0.000729163915318,0.0063278688524590005,0.008754854777601,0.009618633999683001,0.8622695656403521,0.008700223273522
247,100,610,3359,297,11.971827983856201,1.750844955444336,0.0006686100664550001,0.0063278688524590005,0.008539304763698,0.009348829035667,0.8876696220446221,0.008436050183715
248,100,610,3359,483,11.923717260360718,1.775462865829467,0.000608463464893,0.006196721311475001,0.008185843418949,0.008981638821446,0.9054418407679271,0.0083852772839
249,100,610,3359,784,12.045936822891235,2.022334098815918,0.0004981961973420001,0.005934426229508001,0.007826413955971001,0.008427468822343001,0.914648952579987,0.008103324174075001
250,100,610,3359,1274,11.875163078308105,2.147884130477905,0.0005571184708600001,0.005836065573770001,0.008381212698117,0.008640717210829001,0.8843037112700031,0.008701461298805
251,100,610,3359,2069,12.034597158432007,2.282970190048217,0.000600407909964,0.006131147540983001,0.00956602867081,0.009325612142633001,0.861961722488038,0.009555924296275001
252,100,610,3359,3359,12.00182294845581,2.566659212112426,0.0006365515648840001,0.006098360655737001,0.009268758474933001,0.009249647812627,0.857725607725607,0.009186924473103
253,100,610,3359,5455,11.96414589881897,2.886621952056884,0.000614003944404,0.0062295081967210005,0.009297773705721001,0.009280297876998,0.8534010315925201,0.009304002781768001
254,100,610,3359,8858,12.127094984054565,3.422389030456543,0.000562002820107,0.006,0.008599716918657001,0.008814496913297,0.86028971028971,0.009089121876681
255,100,610,3359,14384,11.92862582206726,3.684088945388794,0.0005500042899580001,0.0058688524590160005,0.008467212762847,0.0086708144906,0.841419816138917,0.008830221784760001
256,100,610,3359,23357,12.06650424003601,4.171064853668213,0.000576442519803,0.006065573770491,0.009175122964850001,0.009031686968473,0.8465909090909091,0.009557105954201001
257,100,610,3359,37926,11.932816743850708,4.8978962898254395,0.000579747529652,0.006098360655737001,0.009640388361926001,0.009142003578018,0.8503996003996,0.010144845193797
258,100,610,3359,61584,11.902453899383545,5.888696908950806,0.0005849590655840001,0.006163934426229,0.010072108980561,0.009309008768198,0.8536168132942321,0.010721271412143001
